"","Id","IndicatorCode","SpatialDimType","Country","ParentLocationCode","TimeDimType","ParentLocation","Dim1Type","Year","Dim1","Dim2Type","Dim2","Dim3Type","Dim3","DataSourceDimType","DataSourceDim","Value","NumericValue","Low","High","Comments","Date","TimeDimensionValue","TimeDimensionBegin","TimeDimensionEnd"
"1671",2321531,"WSH_WATER_SAFELY_MANAGED","COUNTRY","NLD","EUR","YEAR","Europe","RESIDENCEAREATYPE",2000,"RESIDENCEAREATYPE_TOTL",NA,NA,NA,NA,NA,NA,"100",99.99387,NA,NA,NA,"2023-07-10T13:18:38+02:00","2000","2000-01-01T00:00:00+01:00","2000-12-31T00:00:00+01:00"
"1672",2326083,"WSH_WATER_SAFELY_MANAGED","REGION","AMR",NA,"YEAR",NA,"RESIDENCEAREATYPE",2000,"RESIDENCEAREATYPE_URB",NA,NA,NA,NA,NA,NA,"88",88.16226,NA,NA,NA,"2023-07-10T08:09:11+02:00","2000","2000-01-01T00:00:00+01:00","2000-12-31T00:00:00+01:00"
"1673",2326163,"WSH_WATER_SAFELY_MANAGED","COUNTRY","ETH","AFR","YEAR","Africa","RESIDENCEAREATYPE",2018,"RESIDENCEAREATYPE_URB",NA,NA,NA,NA,NA,NA,"38",38.01874,NA,NA,NA,"2023-07-10T13:17:58+02:00","2018","2018-01-01T00:00:00+01:00","2018-12-31T00:00:00+01:00"
"1674",2329434,"WSH_WATER_SAFELY_MANAGED","COUNTRY","BGD","SEAR","YEAR","South-East Asia","RESIDENCEAREATYPE",2002,"RESIDENCEAREATYPE_URB",NA,NA,NA,NA,NA,NA,"42",42.19426,NA,NA,NA,"2023-07-10T13:17:37+02:00","2002","2002-01-01T00:00:00+01:00","2002-12-31T00:00:00+01:00"
"1675",2329774,"WSH_WATER_SAFELY_MANAGED","COUNTRY","LTU","EUR","YEAR","Europe","RESIDENCEAREATYPE",2004,"RESIDENCEAREATYPE_URB",NA,NA,NA,NA,NA,NA,"94",94.22806,NA,NA,NA,"2023-07-10T13:18:24+02:00","2004","2004-01-01T00:00:00+01:00","2004-12-31T00:00:00+01:00"
"1676",2333035,"WSH_WATER_SAFELY_MANAGED","COUNTRY","SLV","AMR","YEAR","Americas","RESIDENCEAREATYPE",2003,"RESIDENCEAREATYPE_URB",NA,NA,NA,NA,NA,NA,"84",83.82011,NA,NA,NA,"2023-07-10T13:18:55+02:00","2003","2003-01-01T00:00:00+01:00","2003-12-31T00:00:00+01:00"
"1677",2334708,"WSH_WATER_SAFELY_MANAGED","COUNTRY","BRA","AMR","YEAR","Americas","RESIDENCEAREATYPE",2013,"RESIDENCEAREATYPE_URB",NA,NA,NA,NA,NA,NA,"84",84.09519,NA,NA,NA,"2023-07-10T13:17:40+02:00","2013","2013-01-01T00:00:00+01:00","2013-12-31T00:00:00+01:00"
"1678",2335188,"WSH_WATER_SAFELY_MANAGED","COUNTRY","BRA","AMR","YEAR","Americas","RESIDENCEAREATYPE",2022,"RESIDENCEAREATYPE_RUR",NA,NA,NA,NA,NA,NA,"76",76.01856,NA,NA,NA,"2023-07-10T13:17:41+02:00","2022","2022-01-01T00:00:00+01:00","2022-12-31T00:00:00+01:00"
"1679",2335711,"WSH_WATER_SAFELY_MANAGED","COUNTRY","LKA","SEAR","YEAR","South-East Asia","RESIDENCEAREATYPE",2014,"RESIDENCEAREATYPE_RUR",NA,NA,NA,NA,NA,NA,"38",37.54643,NA,NA,NA,"2023-07-10T13:18:23+02:00","2014","2014-01-01T00:00:00+01:00","2014-12-31T00:00:00+01:00"
"1680",2338655,"WSH_WATER_SAFELY_MANAGED","COUNTRY","PER","AMR","YEAR","Americas","RESIDENCEAREATYPE",2005,"RESIDENCEAREATYPE_RUR",NA,NA,NA,NA,NA,NA,"16",15.96424,NA,NA,NA,"2023-07-10T13:18:42+02:00","2005","2005-01-01T00:00:00+01:00","2005-12-31T00:00:00+01:00"
