"","Id","IndicatorCode","SpatialDimType","Country","ParentLocationCode","TimeDimType","ParentLocation","Dim1Type","Year","Dim1","Dim2Type","Dim2","Dim3Type","Dim3","DataSourceDimType","DataSourceDim","Value","NumericValue","Low","High","Comments","Date","TimeDimensionValue","TimeDimensionBegin","TimeDimensionEnd"
"97",9882641,"WSH_20_WAT","COUNTRY","AZE","EUR","YEAR","Europe","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.03 [0.01-0.07]",0.03135,0.01378,0.07297,NA,"2022-11-16T11:21:06+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"98",5345515,"WSH_20_WAT","COUNTRY","MOZ","AFR","YEAR","Africa","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.44 [0.34-0.56]",0.44318,0.33572,0.55734,NA,"2022-11-16T11:21:07+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"99",2638525,"WSH_20_WAT","COUNTRY","GAB","AFR","YEAR","Africa","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.37 [0.23-0.52]",0.36571,0.22546,0.51752,NA,"2022-11-16T11:21:06+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"100",9521471,"WSH_20_WAT","COUNTRY","IRN","EMR","YEAR","Eastern Mediterranean","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.02 [0.01-0.06]",0.0202,0.00658,0.06059,NA,"2022-11-16T11:21:06+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"101",1750665,"WSH_20_WAT","COUNTRY","COG","AFR","YEAR","Africa","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.40 [0.29-0.52]",0.39709,0.28794,0.52005,NA,"2022-11-16T11:21:06+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"102",8299117,"WSH_20_WAT","COUNTRY","THA","SEAR","YEAR","South-East Asia","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.27 [0.15-0.42]",0.2667,0.15341,0.41801,NA,"2022-11-16T11:21:08+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"103",5716081,"WSH_20_WAT","COUNTRY","CHN","WPR","YEAR","Western Pacific","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.16 [0.07-0.33]",0.15816,0.07259,0.33427,NA,"2022-11-16T11:21:06+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"104",7684674,"WSH_20_WAT","COUNTRY","NIC","AMR","YEAR","Americas","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.29 [0.19-0.43]",0.29101,0.18641,0.42542,NA,"2022-11-16T11:21:07+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"105",3246404,"WSH_20_WAT","COUNTRY","JAM","AMR","YEAR","Americas","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.19 [0.11-0.32]",0.19017,0.1116,0.31728,NA,"2022-11-16T11:21:07+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"106",8425667,"WSH_20_WAT","COUNTRY","GNB","AFR","YEAR","Africa","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.44 [0.34-0.56]",0.4442,0.34037,0.55604,NA,"2022-11-16T11:21:06+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"107",5830151,"WSH_20_WAT","COUNTRY","SWZ","AFR","YEAR","Africa","SEX",2019,"SEX_BTSX","AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"0.38 [0.24-0.53]",0.38367,0.2411,0.5298,NA,"2022-11-16T11:21:08+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
