"","Id","IndicatorCode","SpatialDimType","Country","ParentLocationCode","TimeDimType","ParentLocation","Dim1Type","Dim1","Year","Dim2Type","Dim2","Dim3Type","Dim3","DataSourceDimType","DataSourceDim","Value","NumericValue","Low","High","Comments","Date","TimeDimensionValue","TimeDimensionBegin","TimeDimensionEnd"
"99",6585938,"WSH_10_WAT","COUNTRY","VUT","WPR","YEAR","Western Pacific","SEX","SEX_BTSX",2019,"AGEGROUP","AGEGROUP_YEARSUNDER5",NA,NA,NA,NA,"7 [4-12]",7.38419,3.95209,11.67057,NA,"2022-11-01T15:13:00+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"100",7224642,"WSH_10_WAT","COUNTRY","KEN","AFR","YEAR","Africa","SEX","SEX_BTSX",2019,"AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"5549 [4019-7367]",5549.14648,4019.30933,7366.56348,NA,"2022-11-01T15:13:09+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"101",1576072,"WSH_10_WAT","COUNTRY","SUR","AMR","YEAR","Americas","SEX","SEX_MLE",2019,"AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"4 [3-7]",4.31746,2.67521,6.71261,NA,"2022-11-01T15:13:03+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"102",7035689,"WSH_10_WAT","COUNTRY","PHL","WPR","YEAR","Western Pacific","SEX","SEX_BTSX",2019,"AGEGROUP","AGEGROUP_YEARSUNDER5",NA,NA,NA,NA,"1163 [678-1860]",1162.79602,677.63532,1859.9696,NA,"2022-11-01T15:12:59+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"103",9029517,"WSH_10_WAT","COUNTRY","MKD","EUR","YEAR","Europe","SEX","SEX_BTSX",2019,"AGEGROUP","AGEGROUP_YEARSUNDER5",NA,NA,NA,NA,"0 [0-1]",0.11393,0.00293,0.67381,NA,"2022-11-01T15:12:56+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"104",1513220,"WSH_10_WAT","COUNTRY","KIR","WPR","YEAR","Western Pacific","SEX","SEX_BTSX",2019,"AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"8 [6-12]",8.40431,5.71113,12.36766,NA,"2022-11-01T15:13:09+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"105",6813765,"WSH_10_WAT","COUNTRY","SWZ","AFR","YEAR","Africa","SEX","SEX_MLE",2019,"AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"125 [75-184]",125.27211,75.23425,184.03087,NA,"2022-11-01T15:13:03+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"106",8858295,"WSH_10_WAT","COUNTRY","AGO","AFR","YEAR","Africa","SEX","SEX_FMLE",2019,"AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"2698 [1769-3935]",2697.74756,1768.81091,3935.02148,NA,"2022-11-01T15:13:04+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"107",9200802,"WSH_10_WAT","COUNTRY","JOR","EMR","YEAR","Eastern Mediterranean","SEX","SEX_FMLE",2019,"AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"10 [3-23]",9.57918,3.07211,23.45785,NA,"2022-11-01T15:13:05+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"108",6344873,"WSH_10_WAT","COUNTRY","SWZ","AFR","YEAR","Africa","SEX","SEX_FMLE",2019,"AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"73 [43-109]",73.14634,43.12569,108.55032,NA,"2022-11-01T15:13:07+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"109",4387459,"WSH_10_WAT","COUNTRY","NAM","AFR","YEAR","Africa","SEX","SEX_MLE",2019,"AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"156 [103-224]",156.26617,102.81506,223.60355,NA,"2022-11-01T15:13:03+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"110",1721639,"WSH_10_WAT","COUNTRY","PNG","WPR","YEAR","Western Pacific","SEX","SEX_MLE",2019,"AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"569 [360-804]",569.06775,360.32666,804.41333,NA,"2022-11-01T15:13:03+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"111",128185,"WSH_10_WAT","COUNTRY","GHA","AFR","YEAR","Africa","SEX","SEX_MLE",2019,"AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"1444 [1010-1973]",1444.11426,1009.87964,1973.13306,NA,"2022-11-01T15:13:01+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"112",9745817,"WSH_10_WAT","COUNTRY","CUB","AMR","YEAR","Americas","SEX","SEX_FMLE",2019,"AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"20 [10-38]",19.8418,9.66786,37.68086,NA,"2022-11-01T15:13:05+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"113",2474796,"WSH_10_WAT","COUNTRY","RWA","AFR","YEAR","Africa","SEX","SEX_FMLE",2019,"AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"439 [299-628]",438.71637,299.06799,628.21173,NA,"2022-11-01T15:13:07+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"114",5933967,"WSH_10_WAT","COUNTRY","KAZ","EUR","YEAR","Europe","SEX","SEX_BTSX",2019,"AGEGROUP","AGEGROUP_YEARSUNDER5",NA,NA,NA,NA,"26 [12-56]",25.94699,11.77728,56.02203,NA,"2022-11-01T15:12:55+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"115",6351303,"WSH_10_WAT","COUNTRY","KIR","WPR","YEAR","Western Pacific","SEX","SEX_MLE",2019,"AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"3 [2-5]",3.16532,2.1384,4.69218,NA,"2022-11-01T15:13:02+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"116",5008634,"WSH_10_WAT","COUNTRY","TZA","AFR","YEAR","Africa","SEX","SEX_BTSX",2019,"AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"6496 [4682-8669]",6496.08008,4681.91406,8669.27344,NA,"2022-11-01T15:13:10+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"117",3647421,"WSH_10_WAT","COUNTRY","FJI","WPR","YEAR","Western Pacific","SEX","SEX_MLE",2019,"AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"15 [7-26]",14.87376,6.53341,25.74666,NA,"2022-11-01T15:13:01+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"118",3490058,"WSH_10_WAT","COUNTRY","NIC","AMR","YEAR","Americas","SEX","SEX_BTSX",2019,"AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"36 [22-54]",35.61487,21.8298,53.68808,NA,"2022-11-01T15:13:09+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
"119",6883734,"WSH_10_WAT","COUNTRY","ARG","AMR","YEAR","Americas","SEX","SEX_MLE",2019,"AGEGROUP","AGEGROUP_YEARSALL",NA,NA,NA,NA,"45 [10-109]",44.71803,10.08451,108.82213,NA,"2022-11-01T15:13:00+01:00","2019","2019-01-01T00:00:00+01:00","2019-12-31T00:00:00+01:00"
