DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
67717,Population with unknown or missing information on round trip time to water,0.8,1,BF,Burkina Faso,1993,BF1993DHS,WS_TIME_P_DKM,250202040,S,1000,0,Total,Total,0,NA,1,1,WSTIMEPDKM,NA,1993,DHS,34202,33459,NA,NA,NA
468140,Population with water on the premises,11,1,BF,Burkina Faso,1999,BF1999DHS,WS_TIME_P_ONP,250202010,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPONP,NA,1998-99,DHS,32363,31674,NA,NA,NA
468135,Population with water 30 minutes or less away round trip,68.8,1,BF,Burkina Faso,1999,BF1999DHS,WS_TIME_P_L30,250202020,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPL30,NA,1998-99,DHS,32363,31674,NA,NA,NA
468141,Population with water more than 30 minutes away round trip,19.9,1,BF,Burkina Faso,1999,BF1999DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPM30,NA,1998-99,DHS,32363,31674,NA,NA,NA
468130,Population with unknown or missing information on round trip time to water,0.3,1,BF,Burkina Faso,1999,BF1999DHS,WS_TIME_P_DKM,250202040,S,1000,0,Total,Total,0,NA,1,1,WSTIMEPDKM,NA,1998-99,DHS,32363,31674,NA,NA,NA
600585,Population with water on the premises,23.7,1,BF,Burkina Faso,2003,BF2003DHS,WS_TIME_P_ONP,250202010,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPONP,NA,2003,DHS,58795,59935,NA,NA,NA
600589,Population with water 30 minutes or less away round trip,61.3,1,BF,Burkina Faso,2003,BF2003DHS,WS_TIME_P_L30,250202020,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPL30,NA,2003,DHS,58795,59935,NA,NA,NA
600591,Population with water more than 30 minutes away round trip,14.7,1,BF,Burkina Faso,2003,BF2003DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPM30,NA,2003,DHS,58795,59935,NA,NA,NA
600580,Population with unknown or missing information on round trip time to water,0.3,1,BF,Burkina Faso,2003,BF2003DHS,WS_TIME_P_DKM,250202040,S,1000,0,Total,Total,0,NA,1,1,WSTIMEPDKM,NA,2003,DHS,58795,59935,NA,NA,NA
321896,Population with water on the premises,10.8,1,BF,Burkina Faso,2010,BF2010DHS,WS_TIME_P_ONP,250202010,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPONP,NA,2010,DHS,81831,81522,NA,NA,NA
321893,Population with water 30 minutes or less away round trip,74.4,1,BF,Burkina Faso,2010,BF2010DHS,WS_TIME_P_L30,250202020,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPL30,NA,2010,DHS,81831,81522,NA,NA,NA
321897,Population with water more than 30 minutes away round trip,14.7,1,BF,Burkina Faso,2010,BF2010DHS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPM30,NA,2010,DHS,81831,81522,NA,NA,NA
321907,Population with unknown or missing information on round trip time to water,0.2,1,BF,Burkina Faso,2010,BF2010DHS,WS_TIME_P_DKM,250202040,S,1000,0,Total,Total,0,NA,1,1,WSTIMEPDKM,NA,2010,DHS,81831,81522,NA,NA,NA
276625,Population with water on the premises,15.9,1,BF,Burkina Faso,2014,BF2014MIS,WS_TIME_P_ONP,250202010,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPONP,NA,2014,MIS,38170,39229,NA,NA,NA
276635,Population with water 30 minutes or less away round trip,56.3,1,BF,Burkina Faso,2014,BF2014MIS,WS_TIME_P_L30,250202020,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPL30,NA,2014,MIS,38170,39229,NA,NA,NA
276626,Population with water more than 30 minutes away round trip,23.9,1,BF,Burkina Faso,2014,BF2014MIS,WS_TIME_P_M30,250202030,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPM30,NA,2014,MIS,38170,39229,NA,NA,NA
276629,Population with unknown or missing information on round trip time to water,3.9,1,BF,Burkina Faso,2014,BF2014MIS,WS_TIME_P_DKM,250202040,S,1000,0,Total,Total,0,NA,1,1,WSTIMEPDKM,NA,2014,MIS,38170,39229,NA,NA,NA
590146,Population with water on the premises,15.4,1,BF,Burkina Faso,2017,BF2017MIS,WS_TIME_P_ONP,250202010,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPONP,NA,2017-18,MIS,36348,36446,NA,NA,NA
590144,Population with water 30 minutes or less away round trip,50.6,1,BF,Burkina Faso,2017,BF2017MIS,WS_TIME_P_L30,250202020,I,1000,0,Total,Total,0,NA,1,1,WSTIMEPL30,NA,2017-18,MIS,36348,36446,NA,NA,NA
