"","IndicatorCode","Country","Year","Value"
"194","SDGWSHBOD","NAM",2019,36.4
"195","SDGWSHBOD","VUT",2019,24.9
"196","SDGWSHBOD","PER",2019,7.9
"197","SDGWSHBOD","ATG",2019,2.5
"198","SDGWSHBOD","NIC",2019,3.3
"199","SDGWSHBOD","RWA",2019,28.7
"200","SDGWSHBOD","CHN",2019,2.2
"201","SDGWSHBOD","ERI",2019,83.6
"202","SDGWSHBOD","ITA",2019,3
"203","SDGWSHBOD","IRL",2019,2.9
"204","SDGWSHBOD","UZB",2019,2.9
"205","SDGWSHBOD","BRN",2019,1.6
"206","SDGWSHBOD","NER",2019,70.3
"207","SDGWSHBOD","ZWE",2019,27.2
"208","SDGWSHBOD","RUS",2019,4.6
"209","SDGWSHBOD","GHA",2019,25.2
"210","SDGWSHBOD","LCA",2019,4.7
"211","SDGWSHBOD","GLOBAL",2019,17.61187
"212","SDGWSHBOD","JOR",2019,1.9
"213","SDGWSHBOD","TCD",2019,99.2
"214","SDGWSHBOD","NLD",2019,2.9
"215","SDGWSHBOD","TUR",2019,2.6
"216","SDGWSHBOD","ZAF",2019,26.9
"217","SDGWSHBOD","BHR",2019,0.7
"218","SDGWSHBOD","SVK",2019,3.6
"219","SDGWSHBOD","ISR",2019,1.9
"220","SDGWSHBOD","GIN",2019,54.8
"221","SDGWSHBOD","SUR",2019,7.1
"222","SDGWSHBOD","MDV",2019,2.7
"223","SDGWSHBOD","CMR",2019,52.2
"224","SDGWSHBOD","MDV",2019,2.1
"225","SDGWSHBOD","KGZ",2019,2
"226","SDGWSHBOD","CYP",2019,1.6
"227","SDGWSHBOD","MEX",2019,3.8
"228","SDGWSHBOD","KAZ",2019,3.9
"229","SDGWSHBOD","PAN",2019,4.5
"230","SDGWSHBOD","SYR",2019,9.9
"231","SDGWSHBOD","COD",2019,52.3
"232","SDGWSHBOD","ALB",2019,2.9
"233","SDGWSHBOD","SOM",2019,106.7
"234","SDGWSHBOD","EUR",2019,3.87888
"235","SDGWSHBOD","COD",2019,41.6
"236","SDGWSHBOD","MKD",2019,1
"237","SDGWSHBOD","SAU",2019,1.9
"238","SDGWSHBOD","MWI",2019,30.8
"239","SDGWSHBOD","GMB",2019,26
"240","SDGWSHBOD","GTM",2019,14.2
"241","SDGWSHBOD","BRN",2019,1.7
"242","SDGWSHBOD","CHN",2019,2
"243","SDGWSHBOD","FRA",2019,3.7
"244","SDGWSHBOD","RUS",2019,3.2
"245","SDGWSHBOD","SGP",2019,8.5
"246","SDGWSHBOD","RWA",2019,25
"247","SDGWSHBOD","TCD",2019,91.3
"248","SDGWSHBOD","MDG",2019,40.1
"249","SDGWSHBOD","IRQ",2019,4.4
"250","SDGWSHBOD","GAB",2019,17.5
"251","SDGWSHBOD","NOR",2019,3.6
"252","SDGWSHBOD","COM",2019,39.2
"253","SDGWSHBOD","NZL",2019,1.8
"254","SDGWSHBOD","SYR",2019,8.4
"255","SDGWSHBOD","LUX",2019,2
"256","SDGWSHBOD","CAF",2019,108.9
"257","SDGWSHBOD","LUX",2019,1.7
"258","SDGWSHBOD","BEN",2019,66
"259","SDGWSHBOD","PHL",2019,16.8
"260","SDGWSHBOD","LCA",2019,7
"261","SDGWSHBOD","TTO",2019,1.9
"262","SDGWSHBOD","TKM",2019,5.7
"263","SDGWSHBOD","GRC",2019,8.7
"264","SDGWSHBOD","MNE",2019,2.2
"265","SDGWSHBOD","SSD",2019,68.1
"266","SDGWSHBOD","BEL",2019,4.7
"267","SDGWSHBOD","VCT",2019,5.1
"268","SDGWSHBOD","MYS",2019,15.6
"269","SDGWSHBOD","GNB",2019,47.8
"270","SDGWSHBOD","NOR",2019,4.1
"271","SDGWSHBOD","SEAR",2019,23.92629
"272","SDGWSHBOD","YEM",2019,16.9
"273","SDGWSHBOD","ARG",2019,11.4
"274","SDGWSHBOD","HTI",2019,24.8
"275","SDGWSHBOD","KAZ",2019,3.2
"276","SDGWSHBOD","EGY",2019,4.5
"277","SDGWSHBOD","MDA",2019,5.4
"278","SDGWSHBOD","LKA",2019,4.8
"279","SDGWSHBOD","UGA",2019,28.1
"280","SDGWSHBOD","FSM",2019,14
"281","SDGWSHBOD","CIV",2019,40
"282","SDGWSHBOD","MOZ",2019,36.6
"283","SDGWSHBOD","SVK",2019,3.1
"284","SDGWSHBOD","SAU",2019,1.9
"285","SDGWSHBOD","USA",2019,2.4
"286","SDGWSHBOD","LKA",2019,4.5
"287","SDGWSHBOD","LAO",2019,21.4
"288","SDGWSHBOD","KOR",2019,5.2
"289","SDGWSHBOD","GMB",2019,33.2
"290","SDGWSHBOD","JOR",2019,2
"291","SDGWSHBOD","ITA",2019,3.2
"292","SDGWSHBOD","BEN",2019,54.4
"293","SDGWSHBOD","TJK",2019,8
"294","SDGWSHBOD","MLI",2019,59
"295","SDGWSHBOD","MNE",2019,1.5
"296","SDGWSHBOD","GMB",2019,29.5
"297","SDGWSHBOD","AGO",2019,55.1
"298","SDGWSHBOD","KWT",2019,0.8
"299","SDGWSHBOD","GEO",2019,2.9
"300","SDGWSHBOD","SLV",2019,5
"301","SDGWSHBOD","GLOBAL",2019,18.26571
"302","SDGWSHBOD","ZMB",2019,35.8
"303","SDGWSHBOD","ARM",2019,6.6
"304","SDGWSHBOD","MLT",2019,3.9
"305","SDGWSHBOD","SLE",2019,78.9
"306","SDGWSHBOD","TZA",2019,27.9
"307","SDGWSHBOD","USA",2019,2.3
"308","SDGWSHBOD","QAT",2019,0.4
"309","SDGWSHBOD","TON",2019,7.1
"310","SDGWSHBOD","BTN",2019,16.3
"311","SDGWSHBOD","JPN",2019,7.9
"312","SDGWSHBOD","DEU",2019,3.2
"313","SDGWSHBOD","ITA",2019,2.8
"314","SDGWSHBOD","NGA",2019,70.7
"315","SDGWSHBOD","GAB",2019,21.8
"316","SDGWSHBOD","KOR",2019,5.2
"317","SDGWSHBOD","LTU",2019,2.2
"318","SDGWSHBOD","POL",2019,5.1
"319","SDGWSHBOD","CUB",2019,9.7
"320","SDGWSHBOD","KIR",2019,43.6
"321","SDGWSHBOD","SEN",2019,27.6
"322","SDGWSHBOD","BOL",2019,14.3
"323","SDGWSHBOD","MNG",2019,3.8
"324","SDGWSHBOD","SYR",2019,9.1
"325","SDGWSHBOD","DZA",2019,4.1
"326","SDGWSHBOD","CAN",2019,2.5
"327","SDGWSHBOD","COL",2019,3.4
"328","SDGWSHBOD","SSD",2019,63.3
"329","SDGWSHBOD","LBN",2019,2.7
"330","SDGWSHBOD","HTI",2019,25.9
"331","SDGWSHBOD","SGP",2019,8.4
"332","SDGWSHBOD","NGA",2019,72.8
"333","SDGWSHBOD","TJK",2019,10
"334","SDGWSHBOD","MMR",2019,14.7
"335","SDGWSHBOD","STP",2019,16.7
"336","SDGWSHBOD","UZB",2019,3.3
"337","SDGWSHBOD","TTO",2019,1.4
"338","SDGWSHBOD","FIN",2019,0.7
"339","SDGWSHBOD","BLR",2019,1.2
"340","SDGWSHBOD","ESP",2019,3.2
"341","SDGWSHBOD","ESP",2019,3.2
"342","SDGWSHBOD","AZE",2019,4.1
"343","SDGWSHBOD","GBR",2019,6.1
"344","SDGWSHBOD","TLS",2019,18.6
"345","SDGWSHBOD","JAM",2019,2.4
"346","SDGWSHBOD","TZA",2019,30.2
"347","SDGWSHBOD","LBY",2019,2.2
"348","SDGWSHBOD","CHE",2019,2.8
"349","SDGWSHBOD","CRI",2019,2.8
"350","SDGWSHBOD","EMR",2019,19.04146
"351","SDGWSHBOD","TUN",2019,2.9
"352","SDGWSHBOD","CHE",2019,2.5
"353","SDGWSHBOD","PNG",2019,24.9
"354","SDGWSHBOD","OMN",2019,1.9
"355","SDGWSHBOD","VNM",2019,7.5
"356","SDGWSHBOD","PER",2019,7.3
"357","SDGWSHBOD","ATG",2019,2.5
"358","SDGWSHBOD","SRB",2019,3.5
"359","SDGWSHBOD","SWE",2019,3.2
"360","SDGWSHBOD","QAT",2019,0.8
"361","SDGWSHBOD","ETH",2019,35.6
"362","SDGWSHBOD","MRT",2019,37.8
"363","SDGWSHBOD","GRD",2019,7.8
"364","SDGWSHBOD","VCT",2019,5.3
"365","SDGWSHBOD","ZAF",2019,28.3
"366","SDGWSHBOD","NPL",2019,15.2
"367","SDGWSHBOD","URY",2019,4.4
"368","SDGWSHBOD","KOR",2019,5.2
"369","SDGWSHBOD","KHM",2019,16.6
"370","SDGWSHBOD","ECU",2019,4.8
