"","IndicatorCode","Country","Year","Value"
"377","WSH_WATER_BASIC","PER",2000,80.14889
"378","WSH_WATER_BASIC","BEL",2010,100
"379","WSH_WATER_BASIC","VCT",2004,96.3744
"380","WSH_WATER_BASIC","ALB",2007,95.0764
"381","WSH_WATER_BASIC","LSO",2008,85.55417
"382","WSH_WATER_BASIC","GUY",2003,94.73696
"383","WSH_WATER_BASIC","TGO",2008,55.26155
"384","WSH_WATER_BASIC","KOR",2009,98.94685
"385","WSH_WATER_BASIC","LSO",2022,92.96038
"386","WSH_WATER_BASIC","FIN",2014,100
"387","WSH_WATER_BASIC","CHL",2014,99.80878
"388","WSH_WATER_BASIC","AND",2022,100
"389","WSH_WATER_BASIC","LUX",2003,100
"390","WSH_WATER_BASIC","JAM",2013,84.05111
"391","WSH_WATER_BASIC","MEX",2005,82.5318
"392","WSH_WATER_BASIC","BLZ",2021,97.99521
"393","WSH_WATER_BASIC","MRT",2021,76.05271
"394","WSH_WATER_BASIC","COG",2010,65.89391
"395","WSH_WATER_BASIC","THA",2012,99.30366
"396","WSH_WATER_BASIC","BWA",2004,93.86875
"397","WSH_WATER_BASIC","RWA",2012,79.82735
"398","WSH_WATER_BASIC","IDN",2010,84.53261
"399","WSH_WATER_BASIC","CHE",2021,100
"400","WSH_WATER_BASIC","LBR",2017,62.48187
"401","WSH_WATER_BASIC","BRA",2021,99.82214
"402","WSH_WATER_BASIC","COD",2021,59.92389
"403","WSH_WATER_BASIC","VCT",2004,96.07992
"404","WSH_WATER_BASIC","PRY",2018,99.00172
"405","WSH_WATER_BASIC","MDA",2017,84.46348
"406","WSH_WATER_BASIC","EMR",2013,86.00906
"407","WSH_WATER_BASIC","AZE",2003,93.16126
"408","WSH_WATER_BASIC","PSE",2018,97.28943
"409","WSH_WATER_BASIC","MNG",2009,74.04479
"410","WSH_WATER_BASIC","SEAR",2021,96.37742
"411","WSH_WATER_BASIC","AMR",2008,85.13062
"412","WSH_WATER_BASIC","MLI",2009,52.99721
"413","WSH_WATER_BASIC","AFG",2006,30.92875
"414","WSH_WATER_BASIC","WPR",2013,91.70446
"415","WSH_WATER_BASIC","LAO",2001,48.52493
"416","WSH_WATER_BASIC","PRT",2001,99.41786
"417","WSH_WATER_BASIC","PAN",2008,80.61023
"418","WSH_WATER_BASIC","SRB",2016,94.9477
"419","WSH_WATER_BASIC","GNQ",2000,38.68913
"420","WSH_WATER_BASIC","GTM",2008,83.46437
"421","WSH_WATER_BASIC","TGO",2004,82.99589
"422","WSH_WATER_BASIC","MDG",2018,50.40224
"423","WSH_WATER_BASIC","YEM",2014,43.79421
"424","WSH_WATER_BASIC","MDA",2004,84.28582
"425","WSH_WATER_BASIC","HND",2012,91.51358
"426","WSH_WATER_BASIC","ERI",2002,90.3778
"427","WSH_WATER_BASIC","MYS",2001,92.93672
"428","WSH_WATER_BASIC","SVK",2017,99.60509
"429","WSH_WATER_BASIC","ALB",2020,95.06804
"430","WSH_WATER_BASIC","CMR",2016,47.72562
"431","WSH_WATER_BASIC","NOR",2009,100
"432","WSH_WATER_BASIC","RWA",2017,84.12508
"433","WSH_WATER_BASIC","EMR",2014,86.44241
"434","WSH_WATER_BASIC","NPL",2022,91.5815
"435","WSH_WATER_BASIC","CHN",2003,70.92411
"436","WSH_WATER_BASIC","IRQ",2011,76.468
"437","WSH_WATER_BASIC","SDN",2012,46.58136
"438","WSH_WATER_BASIC","FIN",2019,100
"439","WSH_WATER_BASIC","SLE",2006,33.02418
"440","WSH_WATER_BASIC","DEU",2000,100
"441","WSH_WATER_BASIC","GTM",2006,82.41711
"442","WSH_WATER_BASIC","MLI",2007,82.82252
"443","WSH_WATER_BASIC","CYP",2003,99.88154
"444","WSH_WATER_BASIC","GNB",2015,50.15718
"445","WSH_WATER_BASIC","ZAF",2021,94.1327
"446","WSH_WATER_BASIC","RWA",2001,70.76385
"447","WSH_WATER_BASIC","VUT",2019,98.76298
"448","WSH_WATER_BASIC","AFR",2009,39.6978
"449","WSH_WATER_BASIC","ALB",2001,94.78481
"450","WSH_WATER_BASIC","GEO",2000,94.56058
"451","WSH_WATER_BASIC","AND",2010,100
"452","WSH_WATER_BASIC","BWA",2001,94.09839
"453","WSH_WATER_BASIC","TZA",2000,17.1198
"454","WSH_WATER_BASIC","AUT",2012,100
"455","WSH_WATER_BASIC","BGD",2003,98.50525
"456","WSH_WATER_BASIC","AUT",2001,100
"457","WSH_WATER_BASIC","UGA",2004,71.51479
"458","WSH_WATER_BASIC","PRY",2006,69.36712
"459","WSH_WATER_BASIC","BEN",2000,61.74041
"460","WSH_WATER_BASIC","GLOBAL",2004,83.2708
"461","WSH_WATER_BASIC","LAO",2016,72.31711
"462","WSH_WATER_BASIC","CHN",2016,93.40788
"463","WSH_WATER_BASIC","TJK",2017,73.08118
"464","WSH_WATER_BASIC","GBR",2005,100
"465","WSH_WATER_BASIC","IRN",2011,98.36964
"466","WSH_WATER_BASIC","GEO",2010,98.99992
"467","WSH_WATER_BASIC","KEN",2004,50.42562
"468","WSH_WATER_BASIC","KGZ",2008,96.28863
"469","WSH_WATER_BASIC","SSD",2014,41.27738
"470","WSH_WATER_BASIC","ZWE",2009,94.37565
"471","WSH_WATER_BASIC","HUN",2020,100
"472","WSH_WATER_BASIC","FRA",2001,100
"473","WSH_WATER_BASIC","ROU",2005,100
"474","WSH_WATER_BASIC","BWA",2012,85.46791
"475","WSH_WATER_BASIC","THA",2008,96.91852
"476","WSH_WATER_BASIC","ALB",2022,95.66381
"477","WSH_WATER_BASIC","LVA",2005,96.4035
"478","WSH_WATER_BASIC","COG",2017,87.0933
"479","WSH_WATER_BASIC","MUS",2011,99.6865
"480","WSH_WATER_BASIC","CHN",2019,95.31737
"481","WSH_WATER_BASIC","LKA",2008,95.65336
"482","WSH_WATER_BASIC","BFA",2004,56.34176
"483","WSH_WATER_BASIC","AZE",2014,82.3415
"484","WSH_WATER_BASIC","COD",2004,68.97145
"485","WSH_WATER_BASIC","AND",2007,100
"486","WSH_WATER_BASIC","AMR",2009,85.71053
"487","WSH_WATER_BASIC","TGO",2010,84.34171
"488","WSH_WATER_BASIC","QAT",2018,99.96439
"489","WSH_WATER_BASIC","THA",2005,94.29013
"490","WSH_WATER_BASIC","LSO",2003,82.65335
"491","WSH_WATER_BASIC","UZB",2014,93.61048
"492","WSH_WATER_BASIC","TJK",2018,80.41159
"493","WSH_WATER_BASIC","BEN",2022,60.77379
"494","WSH_WATER_BASIC","ROU",2008,100
"495","WSH_WATER_BASIC","UZB",2013,88.94093
"496","WSH_WATER_BASIC","COD",2002,19.24024
"497","WSH_WATER_BASIC","PNG",2009,36.85912
"498","WSH_WATER_BASIC","NGA",2007,75.67486
"499","WSH_WATER_BASIC","GTM",2005,88.43187
"500","WSH_WATER_BASIC","LBY",2001,85.10204
"501","WSH_WATER_BASIC","FRA",2021,100
"502","WSH_WATER_BASIC","BRA",2003,94.46353
"503","WSH_WATER_BASIC","DZA",2000,89.84883
"504","WSH_WATER_BASIC","SWE",2012,99.63388
"505","WSH_WATER_BASIC","CHE",2018,100
